guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/all-possible-efforts-on-says-isro-in-fresh-update-on-vikram-lander-on-moon/story-a8wn4iGyJYHIJ0TudyLZcK.html',b'Isro tweets status update on Vikram lander that went into silent mode',"b'Tue, 10 Sep 2019 06:41:10 GMT '","b'Vikram lander, named after the father of India\xe2\x80\x99s space programme Vikram Sarabhai, was scheduled to soft-land on the lunar surface, past midnight on Friday. But communication with the lander snapped just 2 km short of the lunar surface. '",b'https://www.hindustantimes.com/india-news/all-possible-efforts-on-says-isro-in-fresh-update-on-vikram-lander-on-moon/story-a8wn4iGyJYHIJ0TudyLZcK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/scientists-monitor-descent-vikram-lander-begins-south_93038650-d38d-11e9-98d7-43b78744c7ea.jpg
b'https://www.hindustantimes.com/india-news/court-allows-cbi-to-question-approver-indrani-mukerjea-in-inx-media-case/story-6yLfE3CZ9miLhmfgNsNPuM.html',"b""CBI to question Indrani Mukerjea whose testimony led to Chidambaram's arrest""","b'Tue, 10 Sep 2019 06:10:19 GMT '","b'Indrani Mukerjea and her husband Peter Mukerjea, a co- accused in the murder case of her daughter, are former promoters of the INX Media Group.'",b'https://www.hindustantimes.com/india-news/court-allows-cbi-to-question-approver-indrani-mukerjea-in-inx-media-case/story-6yLfE3CZ9miLhmfgNsNPuM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/indrani-mukerjea-being-taken-mumbai-session-court_d66d009e-d38b-11e9-98d7-43b78744c7ea.jpg
b'https://www.hindustantimes.com/india-news/even-muslims-are-not-safe-in-pakistan-ex-pti-lawmaker-s-sos-to-pm-modi/story-CsK1epGjjdqXDoh11m7tZN.html',"b""'Even Muslims are not safe in Pakistan': Ex-PTI lawmaker's SOS to PM Modi""","b'Tue, 10 Sep 2019 05:58:25 GMT '","b'A former PTI MLA from Barikot in Khyber Pakhtun Khwa (KPK) assembly, Baldev is in India along with his family to seek political asylum.'",b'https://www.hindustantimes.com/india-news/even-muslims-are-not-safe-in-pakistan-ex-pti-lawmaker-s-sos-to-pm-modi/story-CsK1epGjjdqXDoh11m7tZN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/_3f139628-d38f-11e9-98d7-43b78744c7ea.png
b'https://www.hindustantimes.com/cricket/coach-ravi-shastri-to-increase-india-s-minimum-yo-yo-mark-to-17-ahead-of-south-africa-series-report/story-JoxKybBsnOQliHnf0dk8CN.html',"b""Coach&thinsp;Ravi Shastri to increase India's Yo-Yo test passing mark to 17 ahead of South...""","b'Tue, 10 Sep 2019 05:34:23 GMT '","b'Indian cricket team, at the moment, follow the internationally accepted yo-yo test as a way to measure the fitness of a player. '",b'https://www.hindustantimes.com/cricket/coach-ravi-shastri-to-increase-india-s-minimum-yo-yo-mark-to-17-ahead-of-south-africa-series-report/story-JoxKybBsnOQliHnf0dk8CN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/icc-cricket-world-cup-india-nets_1bc7f7e2-d388-11e9-ab55-f69b78c5f02d.jpg
b'https://www.hindustantimes.com/india-news/pockets-of-resistance-spring-up-in-valley/story-rzwTGhnFb4UTjTk1aRnyDJ.html',b'Pockets of resistance spring up in Kashmir',"b'Tue, 10 Sep 2019 05:27:18 GMT '",b'No major violence has been reported since Article 370 was revoked; but a civil resistance may be taking shape in Kashmir. ',b'https://www.hindustantimes.com/india-news/pockets-of-resistance-spring-up-in-valley/story-rzwTGhnFb4UTjTk1aRnyDJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/_c9848cd4-d33c-11e9-ab55-f69b78c5f02d.jpg
b'https://www.hindustantimes.com/delhi-news/delhi-man-who-tried-to-pass-off-death-of-daughter-as-natural-arrested-for-murder/story-LhlwvQLvhrVo8RekQXagwO.html',b'Delhi man who tried to pass off death of daughter as natural arrested for murder',"b'Tue, 10 Sep 2019 04:06:31 GMT '","b'The 45-day investigation revealed that the woman, Sheetal\xe2\x80\x89Mathur, was murdered allegedly after she did not agree to a marriage her family had arranged for her. '",b'https://www.hindustantimes.com/delhi-news/delhi-man-who-tried-to-pass-off-death-of-daughter-as-natural-arrested-for-murder/story-LhlwvQLvhrVo8RekQXagwO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/_f186bbc4-d348-11e9-98d7-43b78744c7ea.jpg
b'https://www.hindustantimes.com/india-news/donald-trump-now-willing-to-help-resolve-kashmir-issue-not-mediate/story-ZcnyYZK9uWCsKP7tXyDMnN.html',"b""Donald Trump now willing to 'help' resolve Kashmir issue, not 'mediate'""","b'Tue, 10 Sep 2019 03:46:39 GMT '",b'US president Donald Trump also said that India-Pakistan tensions were a \xe2\x80\x9clittle bit less heated right now than it was two weeks ago\xe2\x80\x9d.',b'https://www.hindustantimes.com/india-news/donald-trump-now-willing-to-help-resolve-kashmir-issue-not-mediate/story-ZcnyYZK9uWCsKP7tXyDMnN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/donald-trump_17e1d5a0-d37c-11e9-bf18-74205beb354d.jpg
b'https://www.hindustantimes.com/india-news/techie-dies-of-heart-attack-after-spat-with-traffic-police-in-ghaziabad/story-cP3gTthnTsjzy1pjB86cRM.html',b'Techie dies of heart attack after spat with traffic police in Ghaziabad',"b'Tue, 10 Sep 2019 02:34:05 GMT '",b'The Noida police said the incident took place on Sunday evening in Ghaziabad and the traffic police personnel involved were from that district.',b'https://www.hindustantimes.com/india-news/techie-dies-of-heart-attack-after-spat-with-traffic-police-in-ghaziabad/story-cP3gTthnTsjzy1pjB86cRM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/10/Pictures/_22e5e716-d372-11e9-98d7-43b78744c7ea.png
b'https://www.hindustantimes.com/real-estate/dorm-no-longer-the-norm-student-housing-in-non-metros-gets-upscale/story-3uxyCj1rFKVhCajGa81prO.html',b'Dorm no longer the norm. Student housing in non-metros gets upscale',"b'Sun, 08 Sep 2019 07:27:06 GMT '","b'Smaller cities are now stepping up to provide co-living spaces to  students.\xe2\x80\x89They offer comfortable rooms, WiFi, cafeterias, food courts and recreational activities.'",b'https://www.hindustantimes.com/real-estate/dorm-no-longer-the-norm-student-housing-in-non-metros-gets-upscale/story-3uxyCj1rFKVhCajGa81prO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/07/Pictures/_e2ca4560-d159-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/columns/the-power-of-minor-opinions-life-hacks-by-charles-assisi/story-68UX0T4pVKoxi3N0G43EwI.html',b'The power of minor opinions: Life hacks by Charles Assisi',"b'Sat, 07 Sep 2019 02:43:26 GMT '",b'A view held by a small group of people can often be perceived as the view of the masses. Does social media amplify just the minority?  ',b'https://www.hindustantimes.com/columns/the-power-of-minor-opinions-life-hacks-by-charles-assisi/story-68UX0T4pVKoxi3N0G43EwI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/07/Pictures/_a97d77e8-d170-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/columns/the-modi-government-must-allow-politics-to-return-to-kashmir/story-QmhwGuyUIKf6RJY8muHlrL.html',"b'The Modi government must allow politics to return to Kashmir, writes Barkha Dutt'","b'Sat, 07 Sep 2019 03:22:35 GMT '","b'It must integrate Kashmir, lift curbs and release leaders. Otherwise, separatists will get stronger '",b'https://www.hindustantimes.com/columns/the-modi-government-must-allow-politics-to-return-to-kashmir/story-QmhwGuyUIKf6RJY8muHlrL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/06/Pictures/constitutional-kashmiri-scrapping-government-srinagar-restrictions-kashmir_d66ee620-d0a7-11e9-a264-bc92e50e5c68.jpg
b'https://www.hindustantimes.com/editorials/feminism-the-fourth-wave/story-NphCc1YbVa5kZvO3iCK0NJ.html',b'Feminism: The fourth wave',"b'Fri, 06 Sep 2019 05:28:17 GMT '",b'It has evolved from seeking legal rights to interrogating power ',b'https://www.hindustantimes.com/editorials/feminism-the-fourth-wave/story-NphCc1YbVa5kZvO3iCK0NJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/01/22/Pictures/france-europe-us-politics-women-demo_7321e602-ff35-11e7-a2b4-180df2fa46c1.jpg
b'https://www.hindustantimes.com/columns/the-perils-of-a-two-child-policy/story-RB8qQRT9rHtuIlQtWRarXI.html',b'The perils of a two-child policy',"b'Fri, 06 Sep 2019 05:27:35 GMT '",b'Concerns about a national law on population revolve around two questions. Will it be coercive and will it further skew our already precarious sex ratio?',b'https://www.hindustantimes.com/columns/the-perils-of-a-two-child-policy/story-RB8qQRT9rHtuIlQtWRarXI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/06/Pictures/ht-pune_ad3d7036-d067-11e9-831a-a34a52409c0f.JPG
b'https://www.hindustantimes.com/columns/rewriting-the-history-of-science-fantasy-fiction/story-we3B4NbtEf7ItDCTP2cSgO.html',b'Rewriting the history of science fantasy fiction',"b'Fri, 06 Sep 2019 05:26:42 GMT '",b'Today\xe2\x80\x99s authors are criticising the questionable heroes of the past. It is a reflection of what\xe2\x80\x99s happening in the world',b'https://www.hindustantimes.com/columns/rewriting-the-history-of-science-fantasy-fiction/story-we3B4NbtEf7ItDCTP2cSgO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/06/Pictures/_1629be8c-d073-11e9-a264-bc92e50e5c68.jpg
b'https://www.hindustantimes.com/hollywood/it-chapter-two-movie-review-overlong-and-overindulgent-yet-brimming-with-ambition-pennywise-s-balloon-has-burst/story-s6bos2S0tLGnNawhFNfc0O.html',"b""It Chapter Two movie review: Overlong and overindulgent; it's a better drama than...""","b'Fri, 06 Sep 2019 07:13:26 GMT '","b'It Chapter Two movie review: Featuring outstanding performances from Isaiah Mustafa and Bill Hader, the horror sequel is let down by its bloated length, and a poor third act. '",b'https://www.hindustantimes.com/hollywood/it-chapter-two-movie-review-overlong-and-overindulgent-yet-brimming-with-ambition-pennywise-s-balloon-has-burst/story-s6bos2S0tLGnNawhFNfc0O.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/06/Pictures/_b8eb54e4-d075-11e9-8e3f-6f5f9fecffe4.jpg
